memberId	residentialState	yearsEmployment	homeOwnership	annualIncome	incomeVerified	dtiRatio	lengthCreditHistory	numTotalCreditLines	numOpenCreditLines	numOpenCreditLines1Year	revolvingBalance	revolvingUtilizationRate	numDerogatoryRec	numDelinquency2Years	numChargeoff1year	numInquiries6Mon
2874143	OR	6-9 years	own	53315	1	18	5	17	15	5	12771	66.05	0	0	0	0
2081141	NJ	1 year	mortgage	52260	0	16.09	7	12	10	8	14875	56.31	0	0	0	0
2377140	OK	< 1 year	mortgage	59083	1	20.25	5	11	10	9	13076	62.33	0	0	0	0
2325160	MD	2-5 years	mortgage	58057	1	12.37	8	13	9	4	12165	64.29	0	0	0	0
2128416	NM	< 1 year	rent	54310	0	13.58	10	19	15	12	11288	74.72	0	0	0	1
2528729	DE	< 1 year	own	53980	0	11.17	6	6	4	3	13353	67.92	0	2	2	0
2722600	NC	2-5 years	rent	51060	1	19.5	10	14	13	12	14042	83.44	0	0	0	17
2192648	NC	10+ years	own	59147	0	25.04	31	13	7	3	18794	48.95	0	0	0	0
2439781	IN	1 year	rent	52014	0	18.64	21	12	7	5	17585	53.43	0	0	0	0
2876501	WY	< 1 year	rent	54799	0	22.16	3	15	11	10	13012	83.94	0	0	0	2
2680369	NV	10+ years	rent	59042	1	9.76	32	11	8	7	13381	61.76	0	20	14	0
2115974	KS	10+ years	rent	56498	0	26.4	6	19	10	10	14713	18.41	0	3	3	0
2027352	PA	6-9 years	own	52317	1	12.69	37	10	7	6	16751	77.44	15	11	11	3
2506824	NE	1 year	own	56432	1	7.51	21	8	8	4	12406	47.77	0	8	8	0
2364836	NY	10+ years	mortgage	49990	1	20	6	18	17	7	13943	69.9	0	0	0	18
2139134	NY	2-5 years	own	50799	1	17.85	2	12	6	4	15149	89.3	0	0	0	3
2763116	DC	< 1 year	mortgage	57267	1	15.85	5	15	14	14	13372	57.29	0	10	7	2
2544615	MO	1 year	rent	52637	1	17.9	9	23	15	14	15061	53.99	0	0	0	0
2603141	CT	10+ years	rent	50706	1	13.81	6	21	18	17	11783	57.02	7	5	5	2
2362834	RI	2-5 years	mortgage	52780	1	16.88	4	19	17	9	16950	57.38	0	5	4	0
2486530	MT	1 year	mortgage	53036	1	24.3	4	21	19	10	12349	100	0	0	0	0
2819505	DC	< 1 year	rent	55437	0	17.54	12	10	8	8	15004	67.51	0	0	0	0
2039730	GA	6-9 years	mortgage	54137	1	9.09	1	15	11	4	13123	61.62	0	0	0	0
2802726	TN	6-9 years	mortgage	60718	1	19.11	2	11	11	9	19205	79.7	0	0	0	0
2485748	NV	10+ years	rent	56189	1	19.85	3	9	5	3	14696	67.33	0	3	2	3
2334079	AR	1 year	rent	57594	1	10.97	2	6	4	2	14892	56.93	0	5	3	0
2165688	ID	1 year	own	56329	1	18.23	5	13	12	4	14778	62.89	0	0	0	12
2135856	FL	1 year	own	57665	0	28.23	5	10	6	2	18377	65.83	0	0	0	0
2038569	AZ	10+ years	rent	50374	0	21.71	16	18	11	5	14594	56.97	0	1	1	1
2086107	TX	1 year	own	52517	1	14.55	2	10	10	9	10451	47.47	0	0	0	0
2635406	CA	6-9 years	own	53512	1	13.71	5	6	6	4	17802	63.54	0	9	7	0
2022052	OH	6-9 years	mortgage	49797	0	21.38	5	15	8	3	18549	76.13	0	0	0	1
2754509	MT	10+ years	own	51731	1	28.09	1	18	15	9	11173	84.03	1	1	1	12
2705784	IL	1 year	mortgage	55226	1	15.18	2	16	14	10	17871	82.63	0	0	0	0
2817484	NY	1 year	own	48993	1	24.48	5	16	10	5	12067	75.48	0	0	0	1
2457605	KS	1 year	own	50941	1	24.57	4	18	13	8	15538	49.09	0	0	0	0
2494253	DC	6-9 years	own	53599	0	14.84	38	13	12	10	15089	70.65	1	0	0	0
2586240	AR	1 year	rent	48602	1	17.33	3	11	8	3	13407	80.46	0	0	0	0
2088296	OK	2-5 years	own	52594	1	15.01	20	16	11	4	15004	68.27	0	0	0	10
2020813	CT	< 1 year	mortgage	55417	1	6.71	6	18	10	5	16629	59.22	0	0	0	1
2801338	OR	< 1 year	rent	55366	1	8.4	14	10	8	6	12950	67.73	0	0	0	2
2133247	WY	2-5 years	mortgage	56997	1	15.37	9	18	13	9	17485	77.9	0	0	0	0
2385783	MA	2-5 years	own	51417	1	11.34	18	16	9	3	19502	67.56	0	0	0	0
2616606	TX	1 year	mortgage	52860	1	12.31	9	15	10	10	12841	69.58	13	1	1	0
2104950	KY	1 year	rent	57111	0	19.14	3	8	5	5	12087	63.55	3	0	0	1
2669176	FL	1 year	rent	56058	1	16.86	2	17	15	6	15637	45.06	0	11	7	0
2784757	AZ	10+ years	rent	59552	0	15.48	30	10	6	3	17185	36.22	0	0	0	0
2287939	NY	1 year	own	52687	1	20.61	2	20	14	13	15749	68.93	1	0	0	1
2006873	WA	10+ years	rent	52668	0	15.08	13	16	16	15	17178	83.56	0	0	0	0
2048201	CA	6-9 years	own	53009	1	19.15	6	17	15	7	16530	53.76	0	8	5	0
2217761	CT	< 1 year	own	56609	1	23.53	2	23	12	8	11471	57.23	0	0	0	0
2396779	IA	6-9 years	mortgage	52973	1	16.26	30	6	6	4	17888	51.89	0	18	11	0
2347527	MT	10+ years	mortgage	54389	1	15.95	6	19	15	7	17205	78.88	0	0	0	1
2675272	AZ	< 1 year	rent	52965	0	21.29	2	12	9	7	15929	57.67	0	0	0	2
2061047	AL	6-9 years	own	56011	1	22.75	5	9	8	6	15215	57.22	0	0	0	0
2074030	WA	10+ years	mortgage	60631	1	12.08	36	17	13	10	15631	88.76	0	1	1	0
2566366	NM	6-9 years	own	57139	1	18.28	2	18	9	3	13593	68.01	10	0	0	0
2696426	TX	10+ years	rent	52069	0	16.69	2	13	9	8	12803	37.96	0	0	0	0
2120634	NY	< 1 year	mortgage	60981	1	22.27	9	19	10	9	12904	51.55	1	0	0	0
2628619	IN	2-5 years	rent	54493	0	16.17	2	19	16	6	17475	66.81	13	0	0	2
2664825	NE	6-9 years	mortgage	51664	0	6.63	6	15	12	7	14023	49.57	0	0	0	0
2570299	IL	6-9 years	rent	54918	1	22.81	7	21	15	14	20889	88.65	0	0	0	0
2239062	AL	< 1 year	mortgage	56754	1	22.17	39	9	5	2	12825	13.92	0	0	0	2
2150867	NV	6-9 years	rent	56128	1	11.87	7	18	17	15	17282	73.44	0	0	0	1
2671080	DE	6-9 years	mortgage	55735	1	20.19	9	20	11	4	17274	60.31	0	0	0	2
2282344	FL	1 year	own	50408	1	6.51	9	21	16	7	16519	58.6	0	0	0	0
2503312	NC	10+ years	own	52887	0	20.22	20	15	9	4	7555	39.09	0	20	20	0
2709990	MI	< 1 year	own	53537	1	13.42	30	20	16	10	15509	66.53	0	1	1	1
2243325	AR	6-9 years	mortgage	61058	1	23.09	6	12	9	6	13951	53.74	0	0	0	1
2467546	FL	2-5 years	mortgage	60109	0	20.98	2	14	13	10	10150	78.18	0	0	0	5
2647605	IL	6-9 years	own	56489	0	14.89	9	9	8	7	14769	91.23	0	0	0	0
2709608	PA	10+ years	rent	53669	1	14.12	5	11	10	7	15130	52.26	0	0	0	3
2465153	NY	< 1 year	rent	56179	1	15.45	5	12	6	5	16970	68.22	0	0	0	0
2113181	GA	1 year	mortgage	56201	0	23.32	4	17	9	4	18464	75.19	1	0	0	1
2016402	VA	1 year	rent	53675	1	18.22	9	11	9	7	16683	49.12	0	0	0	0
2761176	FL	1 year	own	59719	0	20.08	38	5	5	4	14914	22.34	14	0	0	2
2054053	DC	1 year	own	54626	0	10.85	10	12	6	5	16730	54.73	0	0	0	0
2205299	CA	2-5 years	mortgage	55952	1	23.97	7	18	14	12	13916	68.21	0	0	0	0
2885299	FL	1 year	rent	59295	1	16.97	6	20	14	11	17113	92.87	0	0	0	0
2168639	MN	6-9 years	mortgage	56538	1	19.7	9	15	12	6	15393	79.28	0	7	6	0
2020841	FL	6-9 years	mortgage	54258	1	14.93	36	13	11	9	14597	68.04	0	0	0	0
2541489	SC	1 year	rent	56140	0	7.17	10	16	14	8	14342	86.44	0	6	5	1
2028287	IA	10+ years	mortgage	52679	1	16.85	7	20	19	10	12726	64.75	0	0	0	0
2592041	FL	1 year	rent	52869	1	22.76	4	13	9	7	16827	44.34	0	0	0	1
2372059	FL	2-5 years	mortgage	54418	1	9.89	1	19	11	7	13935	74.09	0	0	0	0
2485328	AL	6-9 years	rent	59298	1	12.01	2	21	19	14	18108	67.65	0	0	0	2
2283329	WA	6-9 years	mortgage	63152	0	16.38	4	18	14	9	15379	49.85	0	1	1	0
2075658	TN	2-5 years	rent	57378	1	23.6	8	17	14	6	13025	63.48	0	0	0	0
2695533	OH	6-9 years	rent	57287	1	25.61	5	19	15	14	13226	72.61	0	1	1	1
2669948	SD	< 1 year	rent	61362	1	11.1	10	18	14	7	14032	87.08	0	0	0	1
2540402	MS	6-9 years	own	53737	0	7.21	3	15	9	4	18702	34.6	0	0	0	0
2849528	WA	< 1 year	mortgage	50042	1	22.34	8	21	11	7	11742	65.56	9	0	0	0
2106318	CA	< 1 year	rent	55407	1	19.25	1	19	16	15	13270	75.12	0	0	0	1
2612954	DE	2-5 years	own	58066	1	18.59	1	11	10	7	14148	80.9	0	1	1	0
2740141	CA	10+ years	mortgage	56583	1	19.24	6	22	16	12	14238	79.23	0	0	0	1
2004048	CA	6-9 years	mortgage	53200	0	17.32	1	13	7	6	14879	58.17	0	0	0	0
2581867	FL	2-5 years	mortgage	53027	1	15.54	4	14	11	4	9828	55.06	0	1	1	1
2637086	MS	1 year	mortgage	53645	1	19.69	5	15	14	13	11555	86.32	0	0	0	1
2505905	SD	1 year	mortgage	55205	0	21.62	6	21	21	18	13131	61.88	0	0	0	1
2401580	MT	2-5 years	mortgage	52825	0	21.32	19	11	9	6	15636	90.68	0	0	0	0
2629341	FL	1 year	rent	52590	1	14.34	7	4	3	2	12055	65.63	0	0	0	1
2608678	IN	10+ years	own	54631	0	17.5	28	18	15	6	12990	55.63	0	0	0	0
2869489	GA	6-9 years	mortgage	52954	0	23.69	10	18	18	16	14253	50.7	0	0	0	3
2644995	TN	2-5 years	mortgage	55687	1	12.97	2	9	8	7	14656	73.88	0	0	0	1
2229487	WA	< 1 year	own	57331	1	26.92	31	15	13	13	19485	64.46	0	1	1	0
2003546	TX	1 year	mortgage	52122	1	22.25	23	15	9	6	17191	62.77	0	3	2	0
2057289	AZ	2-5 years	mortgage	54803	1	11.54	4	11	8	7	14805	93.39	0	0	0	0
2238263	MN	6-9 years	rent	53923	1	21.52	31	13	12	11	16772	51.83	0	0	0	0
2447850	KS	1 year	rent	56535	1	25.96	5	16	14	6	14991	61.47	0	5	4	0
2156688	NV	10+ years	mortgage	54639	1	13.78	6	8	6	2	15747	61.13	0	0	0	4
2131756	MA	1 year	own	55951	1	16.79	2	12	11	7	15646	58.76	0	1	1	0
2898104	NY	6-9 years	rent	56704	0	27.02	7	10	10	6	16076	33.12	0	0	0	1
2132112	FL	< 1 year	mortgage	49504	1	9.49	3	19	14	10	15586	76.95	0	0	0	0
2821720	MA	2-5 years	own	53345	0	20.82	6	14	12	7	18063	78.16	0	0	0	1
2184681	TX	< 1 year	rent	57073	1	22.08	2	13	7	3	13983	62.36	0	0	0	0
2284935	IN	2-5 years	mortgage	51872	0	17.29	2	15	9	9	11992	82.45	0	0	0	18
2120872	ND	6-9 years	rent	58815	1	9.42	4	15	11	4	15309	47.19	0	1	1	0
2262566	KY	10+ years	mortgage	54985	1	16.6	1	21	15	13	18122	42.86	0	2	1	0
2074661	FL	2-5 years	rent	52190	1	15.58	7	20	12	6	10529	61.65	0	0	0	2
2573837	MT	10+ years	own	54979	0	18.87	24	18	11	11	15187	60.76	0	0	0	1
2190218	NJ	1 year	rent	58771	0	19.57	3	20	17	14	14059	36.02	0	0	0	1
2284397	CA	< 1 year	own	57869	1	23.77	5	12	7	4	14194	66.3	0	0	0	0
2847097	CO	1 year	rent	48277	1	14.6	2	21	21	19	12959	49.68	1	0	0	16
2460998	WA	< 1 year	own	53047	1	17.58	25	11	7	7	19405	65.27	0	0	0	2
2368688	DC	1 year	own	53122	0	17.87	4	6	6	6	14717	71.44	0	1	1	1
2067998	DE	2-5 years	rent	56383	1	19.22	10	16		11	14169	57.96	0	1	1	0
2857878	WY	6-9 years	mortgage	50608	0	20.24	4	19	11	9	16196	75	0	0	0	2
2384549	OH	6-9 years	mortgage	55234	1	24.14	7	4	3	1	14633	34.62	0	0	0	0
2865823	CA	2-5 years	rent	58069	0	26	1	24	13	10	13059	60.98	0	1	1	0
2799674	NM	10+ years	rent	51471	0	7.73	4	14	9	6	19826	62.77	0	1	1	0
2012799	MS	10+ years	mortgage	52329	0	17.43	10	11	8	6	14672	53.23	0	7	5	0
2059846	FL	1 year	own	56023	1	19.79	3	10	7	7	12591	62	0	0	0	0
2826225	MN	< 1 year	own	49329	0	19.88	2	6	6	3	16529	49	0	0	0	0
2767535	DE	6-9 years	own	52635	1	10.64	37	16	13	10	14911	65.42	1	0	0	1
2549986	MO	< 1 year	rent	53685	1	27.74	21	19	17	16	16803	71.69	0	11	7	2
2384596	GA	6-9 years	own	53671	0	14.67	7	6	5	5	12005	100	0	0	0	0
2233451	MO	6-9 years	mortgage	49332	1	18.97	1	10	8	7	19419	54.96	0	7	4	0
2457994	DE	2-5 years	own	54118	0	21.93	2	11	10	5	14367	81.96	0	0	0	15
2658598	NV	6-9 years	rent	61306	1	13.11	20	15	13	13	14093	90.59	0	0	0	0
2464765	NM	6-9 years	mortgage	48978	1	16.67	15	15	8	3	15802	60.45	1	0	0	2
2009059	CA	1 year	own	54296	0	13.23	3	11	6	4	14188	86.49	0	0	0	0
2655287	WA	< 1 year	rent	61627	0	18.95	8	17	16	10	14968	97.8	0	13	10	0
2256589	FL	< 1 year	rent	58534	0	20.48	14	17	11	11	12685	43.23	0	18	14	0
2467433	LA	2-5 years	mortgage	59278	1	21.67	3	18	15	8	11742	42.39	0	1	1	0
2364383	CO	6-9 years	rent	53455	1	15.85	35	15	11	7	13174	42.75	0	0	0	17
2101851	DC	2-5 years	rent	54049	1	23.41	6	19	13	8	11137	81.19	0	0	0	1
2745184	VA	1 year	own	52617	0	19.13	6	11	11	4	17060	68.26	0	0	0	1
2286616	AL	10+ years	rent	57009	1	10.2	9	13	12	10	7061	43.23	2	0	0	0
2422787	MA	2-5 years	own	55259	1	24.04	1	10	6	5	13063	97.14	0	0	0	3
2413744	PA	< 1 year	own	56047	1	18.74	10	13	8	4	19943	65.35	0	7	7	0
2063286	MA	10+ years	own	52467	1	14.01	3	13	10	9	15685	70.67	7	0	0	1
2593728	MA	< 1 year	mortgage	51086	0	22.1	15	18	17	9	12230	50.35	0	0	0	1
2261029	WA	6-9 years	own	51351	1	20.45	22	14	13	12	15495	57.74	0	0	0	18
2120754	NM	10+ years	rent	50742	1	19.64	32	15	8	5	13790	78.7	0	0	0	1
2849378	AR	< 1 year	own	56362	1	17.77	6	17	14	9	14447	49.94	0	0	0	0
2055458	NE	< 1 year	mortgage	54710	1	12.16	9	19	19	15	10572	51.78	0	1	1	0
2405857	SD	6-9 years	mortgage	51680	1	24.47	6	15	8	6	11831	59.27	0	0	0	0
2474760	WI	1 year	mortgage	52505	1	17.59	5	10	8	5	13367	72.48	0	13	10	0
2871614	WY	< 1 year	own	57613	0	20.16	33	6	5	2	16984	63.2	0	16	9	15
2623652	LA	2-5 years	mortgage	55297	0	6.55	15	20	14	7	15863	59.69	6	0	0	0
2194351	DC	6-9 years	own	51363	1	24.83	1	14	9	6	13279	56.46	0	0	0	1
2274640	WI	1 year	rent	54251	0	18.51	4	17	9	7	15374	92.7	0	0	0	16
2204051	AZ	< 1 year	mortgage	56809	1	15.95	21	11	6	3	11834	62.71	0	0	0	1
2609693	NE	2-5 years	own	51163	1	17.13	1	7	4	2	16482	79	0	0	0	1
2652264	TX	< 1 year	own	56001	0	19.13	36	16	11	10	9998	47.01	0	0	0	0
2479888	FL	6-9 years	own	52353	0	20.14	9	18	13	6	15363	52.53	0	0	0	0
2885053	NY	10+ years	rent	54627	1	17.11	10	9	5	3	14874	68.44	0	0	0	0
2230871	FL	6-9 years	rent	57233	1	10.44	10	17	17	11	15598	31.98	0	0	0	0
2734548	MS	1 year	mortgage	51828	1	12.09	27	12	9	7	16816	93.45	0	0	0	0
2409369	PA	1 year	rent	54133	1	15.66	28	14	11	11	14427	61.98	0	1	1	0
2637311	TN	< 1 year	rent	45436	1	13.61	1	19	13	9	14923	71.13	9	0	0	0
2393740	ME	10+ years	rent	59289	1	14.49	8	16	12	8	14825	75.58	0	0	0	1
2021208	LA	< 1 year	rent	52252	1	18.26	21	12	8	6	16481	55.6	0	0	0	0
2383383	NY	10+ years	own	55228	1	14.08	9	15	13	8	14006	61.28	0	1	1	1
2875779	IA	2-5 years	mortgage	54734	0	12.55	2	17	14	5	15251	63.64	0	0	0	1
2688601	MS	6-9 years	rent	51770	0	20.09	2	10	9	6	17267	78.41	0	0	0	0
2710089	NC	2-5 years	mortgage	56704	0	13.93	2	7	7	6	13035	57.39	0	1	1	0
2198490	CT	2-5 years	rent	58761	0	16.68	27	22	13	13	14297	53.38	0	0	0	0
2219472	CA	10+ years	own	53512	1	20.02	3	11	11	6	15289	51.15	0	0	0	1
2222916	NY	10+ years	own	54719	1	17.17	4	12	6	4	13181	74.74	0	0	0	1
2367016	AL	< 1 year	rent	62222	0	17.61	4	15	12	11	17824	76.08	0	0	0	1
2170046	MS	< 1 year	mortgage	54367	0	15.46	32	13	7	6	18445	53.63	0	0	0	0
2089377	ID	6-9 years	rent	53052	1	12.96	13	15	11	4	13237	52.22	1	0	0	1
2631355	VA	< 1 year	mortgage	57294	0	21.93	3	10	5	3	14214	87.99	0	0	0	0
2443783	OH	6-9 years	mortgage	55904	1	20.98	10	16	15	9	13380	82.33	0	6	6	0
2152585	TN	1 year	own	55364	1	11.72	3	12	7	3	14302	47.8	0	16	14	1
2885668	MN	6-9 years	own	52383	0	16.53	1	14	13	8	10407	41.02	0	0	0	1
2644633	IL	10+ years	rent	56846	1	9.43	8	11	11	11	12939	80.3	0	0	0	3
2183776	ID	6-9 years	rent	56832	1	17.1	18	10	9	8	14448	69.38	0	0	0	2
2855143	IA	< 1 year	own	52740	1	25.07	8	17	15	8	13992	56.14	0	5	3	1
2777453	ID	< 1 year	own	57855	0	8.28	16	9	5	4	16442	71.82	0	0	0	0
2469889	CT	10+ years	own	58064	0	17.15	7	20	13	4	14884	73.84	0	0	0	0
2547515	FL	6-9 years	own	51617	1	21.77	2	17	9	5	11222	58.22	0	6	5	1
2457413	ID	2-5 years	own	51655	1	22.82	2	13	8	3	14372	78.25	0	0	0	0
2768047	NY	2-5 years	rent	58979	1	24.64	4	19	12	11	14349	37.98	0	0	0	9
2639815	NY	2-5 years	own	54107	0	20.35	24	16	11	9	14184	56.72	0	3	3	1
2795124	AR	10+ years	own	59511	1	29.88	20	16	12	9	10634	49.38	0	0	0	0
2003695	WY	2-5 years	mortgage	61609	1	17.51	17	13	10	3	11833	63.48	0	0	0	1
2861473	PA	6-9 years	mortgage	59843	1	19.19	7	13	10	4	12928	100	0	0	0	0
2137501	NJ	10+ years	own	54918	0	20.76	5	16	13	10	15880	94.1	0	0	0	0
2421491	IN	< 1 year	mortgage	52684	1	14.24	4	19	12	7	11848	82.19	1	1	1	0
2828925	DC	< 1 year	mortgage	57077	1	33.46	9	15	14	9	14493	52.17	0	0	0	0
2498676	DE	2-5 years	mortgage	59814	1	24.04	1	14	13	13	17321	55.3	0	3	2	3
2594271	IA	2-5 years	rent	57170	0	12.66	33	8	5	2	13421	85.24	0	0	0	0
2319520	FL	< 1 year	mortgage	52975	1	27.4	2	13	9	6	15003	94.76	0	0	0	0
2856520	NY	2-5 years	own	53096	1	19.62	31	16	9	7	12654	61.53	6	0	0	0
2246396	ND	6-9 years	rent	57130	0	15.31	2	19	11	9	25262	64.53	0	0	0	0
2439774	FL	1 year	rent	55633	0	12.21	3	12	8	5	13798	71.61	1	0	0	2
2810600	SD	6-9 years	rent	55925	1	17.01	4	11	7	2	17274	71.79	0	0	0	0
2671628	MO	10+ years	own	50419	1	11.38	10	17	9	3	15005	56.77	0	0	0	1
2536938	AR	10+ years	own	56308	1	19.39	1	13	11	7	10729	18.55	0	0	0	0
2504651	TX	1 year	own	56435	0	25.53	3	20	12	7	18064	59.92	0	0	0	0
2466506	CA	6-9 years	rent	54383	1	19.74	2	13	9	8	13360	90.38	0	0	0	0
2028307	NY	10+ years	rent	54279	1	13.71	3	15	9	7	16110	61.87	1	2	2	0
2347572	CA	10+ years	mortgage	52406	0	15.81	28	14	10	9	15369	56.79	0	0	0	0
2384598	AZ	2-5 years	mortgage	53440	1	15.34	3	21	18	7	14131	70.21	6	0	0	0
2282879	PA	10+ years	mortgage	51877	1	14.95	5	13	8	7	14793	84.75	0	0	0	3
2630474	ME	< 1 year	mortgage	55367	1	16.53	2	9	8	6	14267	49.09	0	0	0	7
2735517	KY	< 1 year	own	56608	1	21.68	34	18	13	12	15901	66.07	7	7	4	0
2660604	CA	6-9 years	mortgage	51266	1	14.38	2	9	5	3	18105	62.74	0	17	15	1
2620100	IA	1 year	rent	52755	0	19.21	3	19	11	5	18399	65.9	0	1	1	0
2110188	WA	1 year	mortgage	49682	1	21.76	5	14	11	9	17841	94.35	0	3	3	1
2198669	MN	1 year	mortgage	57167	0	24.99	5	16	10	6	9903	46.6	0	0	0	0
2822513	NV	1 year	mortgage	51884	0	14.07	5	16	10	9	19452	74.91	5	0	0	1
2797121	LA	2-5 years	rent	53824	0	7.49	2	24	16	9	15932	54.36	0	0	0	0
2402106	NY	6-9 years	rent	57214	1	22.01	3	7	6	3	12940	49.95	0	0	0	1
2198962	NC	< 1 year	rent	53466	1	25.59	27	14	11	5	14039	96.52	0	0	0	1
2587153	DC	1 year	mortgage	54863	1	20.35	5	16	11	11	16097	47.49	0	0	0	0
2279832	NE	6-9 years	own	52026	1	23.41	4	18	14	13	20396	80.67	0	0	0	2
2797147	MN	< 1 year	own	55650	1	14.1	34	13	11	9	13362	45.32	0	0	0	0
2538278	MT	6-9 years	own	52990	1	20.04	30	10	7	4	13089	100	0	0	0	0
2167597	IN	2-5 years	rent	60320	0	20.06	3	22	19	13	11437	78.89	0	0	0	0
2404579	NY	1 year	rent	53884	0	17.24	35	15	15	7	17640	62.65	0	0	0	0
2219342	FL	2-5 years	mortgage	51015	0	21.24	9	13	10	10	14278	67.36	0	0	0	1
2150817	SD	10+ years	mortgage	58463	1	16.76	8	15	14	12	19591	43.27	0	0	0	0
2619493	SC	10+ years	rent	56503	1	19.45	9	17	9	9	11632	59.44	1	0	0	0
2450546	RI	1 year	own	52064	1	19.57	3	18	11	10	18822	50.27	0	0	0	1
2272099	WA	1 year	rent	54121	1	18.52	5	14	8	3	11150	68	0	0	0	0
2346502	OR	2-5 years	rent	52872	1	16.08	2	16	11	5	14204	47.19	0	0	0	0
2475268	ID	2-5 years	rent	60385	0	16.74	7	18	16	8	19682	41.64	6	0	0	0
2063083	NJ	2-5 years	rent	52161	1	17.88	1	14	12	7	15195	46.64	0	0	0	1
